c,rb,pl
https://data.naa.gov.au/def/agift/Accommodation-services,https://data.naa.gov.au/def/agift/COMMUNITY-SERVICES,Accommodation services
https://data.naa.gov.au/def/agift/Administrative-decision-appeal,https://data.naa.gov.au/def/agift/Administrative-law,Administrative decision appeal
https://data.naa.gov.au/def/agift/Administrative-decision-review,https://data.naa.gov.au/def/agift/Administrative-law,Administrative decision review
https://data.naa.gov.au/def/agift/Administrative-law,https://data.naa.gov.au/def/agift/JUSTICE-ADMINISTRATION,Administrative law
https://data.naa.gov.au/def/agift/Adoption-services,https://data.naa.gov.au/def/agift/Community-support,Adoption services
https://data.naa.gov.au/def/agift/Adult-education-programs,https://data.naa.gov.au/def/agift/Community-education,Adult education programs
https://data.naa.gov.au/def/agift/Adult-migrant-education,https://data.naa.gov.au/def/agift/Community-education,Adult migrant education
https://data.naa.gov.au/def/agift/Advertising-campaigns_2,https://data.naa.gov.au/def/agift/Tourist-event-promotion,Advertising campaigns
https://data.naa.gov.au/def/agift/Advertising-standards,https://data.naa.gov.au/def/agift/COMMUNICATIONS,Advertising standards
https://data.naa.gov.au/def/agift/Aged-care-services,https://data.naa.gov.au/def/agift/Community-support,Aged care services
https://data.naa.gov.au/def/agift/Agreement-bargaining-processes,https://data.naa.gov.au/def/agift/Workplace-agreement-processes,Agreement bargaining processes
https://data.naa.gov.au/def/agift/Agreement-dispute-mediation,https://data.naa.gov.au/def/agift/Workplace-agreement-processes,Agreement dispute mediation
https://data.naa.gov.au/def/agift/Agricultural-industry,https://data.naa.gov.au/def/agift/Marine-and-rural-regulation,Agricultural industry
https://data.naa.gov.au/def/agift/Agricultural-sciences,https://data.naa.gov.au/def/agift/SCIENCE,Agricultural sciences
https://data.naa.gov.au/def/agift/Air-Force,https://data.naa.gov.au/def/agift/Australian-Defence-Forces,Air Force
https://data.naa.gov.au/def/agift/Air-transport,https://data.naa.gov.au/def/agift/TRANSPORT,Air transport
https://data.naa.gov.au/def/agift/Air-transport-safety,https://data.naa.gov.au/def/agift/Air-transport,Air transport safety
https://data.naa.gov.au/def/agift/Aircraft-standards,https://data.naa.gov.au/def/agift/Air-transport,Aircraft standards
https://data.naa.gov.au/def/agift/Airport-services,https://data.naa.gov.au/def/agift/Air-transport,Airport services
https://data.naa.gov.au/def/agift/Ambulance-services,https://data.naa.gov.au/def/agift/Emergency-services,Ambulance services
https://data.naa.gov.au/def/agift/Animal-and-veterinary-sciences,https://data.naa.gov.au/def/agift/SCIENCE,Animal and veterinary sciences
